date,new_case,new_deaths,persons_tested,persons_positive,hospitalizations
3/1/20,25,0,NA,NA,NA
3/2/20,19,0,NA,NA,NA
3/3/20,13,0,NA,NA,NA
3/4/20,19,0,NA,NA,NA
3/5/20,33,0,NA,NA,NA
3/6/20,43,0,NA,NA,NA
3/7/20,41,0,NA,NA,NA
3/8/20,46,0,NA,NA,NA
3/9/20,87,0,NA,NA,NA
3/10/20,96,0,131,12,NA
3/11/20,132,0,200,15,NA
3/12/20,157,0,573,59,NA
3/13/20,149,0,743,83,NA
3/14/20,143,0,524,55,NA
3/15/20,169,0,446,40,NA
3/16/20,220,0,1207,124,NA
3/17/20,207,0,1719,178,NA
3/18/20,186,0,1632,162,NA
3/19/20,217,4,1731,195,NA
3/20/20,249,3,1796,197,NA
3/21/20,192,3,960,116,NA
3/22/20,251,4,759,131,NA
3/23/20,287,7,2007,248,NA
3/24/20,282,3,2463,333,NA
3/25/20,438,7,2617,326,NA
3/26/20,377,4,2635,351,NA
3/27/20,373,9,3067,384,NA
3/28/20,392,8,2680,384,489
3/29/20,370,15,1129,218,601
3/30/20,615,11,3438,482,713
3/31/20,643,16,3802,521,739
4/1/20,617,19,4132,568,818
4/2/20,618,22,4110,577,962
4/3/20,787,26,4728,543,1007
4/4/20,589,21,2822,478,1094
4/5/20,590,24,1562,384,1166
4/6/20,532,17,2354,381,1251
4/7/20,700,25,3459,645,1331
4/8/20,605,40,4074,631,1368
4/9/20,575,35,5596,568,1299
4/10/20,583,30,5821,577,1362
4/11/20,481,30,3339,445,1433
4/12/20,429,37,1238,285,1501
4/13/20,676,42,3133,623,1587
4/14/20,664,47,4881,746,1624
4/15/20,853,35,7244,869,1679
4/16/20,763,58,6961,805,1720
4/17/20,831,39,6972,736,1709
4/18/20,609,38,5652,719,1739
4/19/20,483,37,2925,377,1791
4/20/20,935,47,5886,927,1854
4/21/20,884,40,8456,941,1858
4/22/20,776,47,6877,819,1863
4/23/20,974,50,6311,930,1860
4/24/20,1005,44,8971,1170,1845
4/25/20,900,40,9267,999,1887
4/26/20,598,41,3897,452,1940
4/27/20,1082,37,10510,1147,1962
4/28/20,967,54,11298,1038,1959
4/29/20,991,42,11593,1099,1894
4/30/20,910,45,17313,985,1884
5/1/20,920,36,17823,968,1819
5/2/20,706,49,14239,737,1779
5/3/20,462,44,5829,382,1828
5/4/20,912,43,16624,708,1826
5/5/20,1254,36,18029,1172,1790
5/6/20,994,53,20625,1090,1771
5/7/20,955,50,19141,975,1766
5/8/20,1003,50,17375,970,1690
5/9/20,701,48,13407,782,1731
5/10/20,585,31,4953,369,1763
5/11/20,1189,28,16723,1024,1742
5/12/20,1097,47,19878,1141,1733
5/13/20,939,42,19549,1065,1648
5/14/20,1250,32,19290,1441,1648
5/15/20,1215,43,20628,1414,1570
5/16/20,774,53,11744,787,1549
5/17/20,547,37,9027,400,1531
5/18/20,1157,45,11888,1018,1517
5/19/20,988,46,18446,1112,1506
5/20/20,1166,29,17659,1221,1491
5/21/20,972,27,25159,1132,1490
5/22/20,984,43,18329,972,1440
5/23/20,745,35,13506,721,1443
5/24/20,509,37,4494,371,1477
5/25/20,821,28,4235,477,1477
5/26/20,1563,40,17484,1670,1462
5/27/20,1330,45,19262,1431,1415
5/28/20,1313,32,17799,1485,1402
5/29/20,1410,33,17683,1415,1357
5/30/20,946,37,13309,1007,1389
5/31/20,515,30,5258,394,1422
6/1/20,1191,36,11734,1073,1457
6/2/20,1380,30,13798,1404,1488
6/3/20,1377,45,15195,1426,1462
6/4/20,1590,45,16201,1391,1451
6/5/20,1399,40,17868,1314,1399
6/6/20,1102,35,15370,1109,1453
6/7/20,687,35,6894,572,1458
6/8/20,1592,37,16919,1444,1416
6/9/20,1338,36,19959,1435,1389
6/10/20,1490,26,18456,1568,1397
6/11/20,1353,25,17017,1534,1383
6/12/20,1420,31,17628,1429,1285
6/13/20,1180,29,12147,1188,1288
6/14/20,765,29,6876,724,1420
6/15/20,1889,32,17440,1797,1429
6/16/20,1764,24,17301,1903,1446
6/17/20,1901,40,17826,2231,1406
6/18/20,1816,29,16820,2206,1426
6/19/20,1844,34,17646,2151,1453
6/20/20,1612,39,12254,1693,1515
6/21/20,1018,31,7124,1042,1556
6/22/20,2507,30,18697,2297,1633
6/23/20,2596,21,22190,2923,1676
6/24/20,2701,37,22408,2881,1698
6/25/20,2933,26,25368,3226,1717
6/26/20,2851,31,26807,3120,1710
6/27/20,2050,24,19868,2298,1783
6/28/20,1092,40,7720,1083,1889
6/29/20,2944,32,24713,2893,1893
6/30/20,3036,36,26414,3238,1937
7/1/20,3411,29,27926,3625,1933
7/2/20,3242,40,29506,3507,1947
7/3/20,1499,33,13020,1697,1921
7/4/20,901,28,6172,1066,1969
7/5/20,1197,39,6208,984,2004
7/6/20,2740,35,20581,2704,2037
7/7/20,3464,33,26726,3528,1995
7/8/20,3382,35,22354,3037,2032
7/9/20,3329,34,27241,3516,2093
7/10/20,3266,40,27109,3575,2056
7/11/20,2462,34,20819,2720,2103
7/12/20,1238,29,15720,2070,2193
7/13/20,3561,57,17207,2543,2173
7/14/20,3380,49,28505,3835,2122
7/15/20,3032,37,25122,3374,2188
7/16/20,3407,43,28178,3616,2216
7/17/20,3286,36,26808,3340,2232
7/18/20,2359,30,19877,2649,2218
7/19/20,1060,36,15873,2047,2207
7/20/20,3404,42,16774,2251,2210
7/21/20,3229,47,26191,3667,1928
7/22/20,2997,49,26456,3452,2016
7/23/20,2616,39,24223,3642,2033
7/24/20,2519,40,21865,2574,2017
7/25/20,2040,47,13077,1821,2051
7/26/20,789,42,18171,2027,2045
7/27/20,2599,42,15602,1751,2022
7/28/20,2580,31,32145,3435,2002
7/29/20,2330,39,29257,2536,1904
7/30/20,2269,42,23392,2381,1856
7/31/20,2136,39,22366,2271,1784
8/1/20,1634,46,16972,1721,1757
8/2/20,737,40,13587,1486,1768
8/3/20,2166,40,13285,1396,1741
8/4/20,2181,49,21023,2316,1680
8/5/20,2012,34,22279,2200,1610
8/6/20,1857,37,21005,1983,1568
8/7/20,1854,33,21632,1955,1514
8/8/20,1290,34,14095,1394,1524
8/9/20,648,42,12261,1229,1538
8/10/20,2040,43,13259,1409,1481
8/11/20,1655,42,21089,1883,1415
8/12/20,1615,32,19650,1795,1393
8/13/20,1495,28,19997,1683,1357
8/14/20,1420,36,17899,1521,1341
8/15/20,1093,32,12277,1221,1352
8/16/20,541,37,8655,801,1378
8/17/20,1505,37,13273,1256,1378
8/18/20,1446,29,16715,1538,1347
8/19/20,1397,41,16270,1433,1280
8/20/20,1334,40,15860,1393,1247
8/21/20,1277,33,15757,1424,1219
8/22/20,892,39,10602,938,1200
8/23/20,491,29,7398,698,1186
8/24/20,1521,26,13174,1298,1168
8/25/20,1231,29,15365,1347,1168
8/26/20,1369,28,16730,1386,1116
8/27/20,1176,30,14073,1247,1089
8/28/20,1042,23,13761,1088,1043
8/29/20,832,31,9767,898,1057
8/30/20,405,32,6999,567,1048
8/31/20,1245,28,11799,1064,1062
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,